TimeStamp,id,Y,X,type,GroupId
2014-6-07 19:00:01,1588370,43,17,check-in,
2014-6-07 19:00:01,265730,66,28,check-in,
2014-6-07 19:00:02,1158920,89,79,check-in,
2014-6-07 19:00:02,14835,89,79,check-in,
2014-6-07 19:00:02,173339,89,79,check-in,
2014-6-07 19:00:02,180883,89,79,check-in,
2014-6-07 19:00:02,304161,89,79,check-in,
2014-6-07 19:00:02,470762,89,79,check-in,
2014-6-07 19:00:02,50359,89,79,check-in,
2014-6-07 19:00:04,1460426,88,83,check-in,
2014-6-07 19:00:04,1477221,37,60,check-in,
2014-6-07 19:00:04,1487166,11,47,check-in,
2014-6-07 19:00:04,1760383,81,87,check-in,
2014-6-07 19:00:05,191538,88,83,check-in,
2014-6-07 19:00:05,411231,88,83,check-in,
2014-6-07 19:00:05,630509,88,83,check-in,
2014-6-07 19:00:08,2080929,48,78,check-in,
2014-6-07 19:00:09,1145752,66,28,check-in,
2014-6-07 19:00:09,1748282,66,28,check-in,
2014-6-07 19:00:09,1984949,66,28,check-in,
2014-6-07 19:00:09,505182,48,78,check-in,
2014-6-07 19:00:09,55307,66,28,check-in,
2014-6-07 19:00:10,1001533,66,28,check-in,
2014-6-07 19:00:10,1683856,48,78,check-in,
2014-6-07 19:00:10,1808866,43,17,check-in,
2014-6-07 19:00:10,2065708,43,17,check-in,
2014-6-07 19:00:10,556329,43,17,check-in,
2014-6-07 19:00:10,777171,48,78,check-in,
2014-6-07 19:00:11,1885481,43,17,check-in,
2014-6-07 19:00:12,1155253,24,45,check-in,
2014-6-07 19:00:12,1381640,49,16,check-in,
2014-6-07 19:00:12,1643467,49,16,check-in,
2014-6-07 19:00:12,286210,49,16,check-in,
2014-6-07 19:00:12,444761,49,16,check-in,
2014-6-07 19:00:12,785278,43,17,check-in,
2014-6-07 19:00:13,1076254,24,45,check-in,
2014-6-07 19:00:13,1185003,33,32,check-in,
2014-6-07 19:00:13,1427590,33,32,check-in,
2014-6-07 19:00:13,161195,33,32,check-in,
2014-6-07 19:00:13,1753558,33,32,check-in,
2014-6-07 19:00:13,2001646,33,32,check-in,
2014-6-07 19:00:13,2084865,33,32,check-in,
2014-6-07 19:00:13,274750,33,32,check-in,
2014-6-07 19:00:13,457705,33,32,check-in,
2014-6-07 19:00:13,465562,33,32,check-in,
2014-6-07 19:00:13,755373,33,32,check-in,
2014-6-07 19:00:13,810123,49,16,check-in,
2014-6-07 19:00:13,852542,24,45,check-in,
2014-6-07 19:00:13,978435,33,32,check-in,
2014-6-07 19:00:13,983949,33,32,check-in,
2014-6-07 19:00:14,1279049,33,32,check-in,
2014-6-07 19:00:14,1967769,49,16,check-in,
2014-6-07 19:00:14,203184,63,87,check-in,
2014-6-07 19:00:14,2079194,33,32,check-in,
2014-6-07 19:00:14,2090691,63,87,check-in,
2014-6-07 19:00:14,530908,49,16,check-in,
2014-6-07 19:00:14,856067,49,16,check-in,
2014-6-07 19:00:15,1106652,33,32,check-in,
2014-6-07 19:00:15,1158442,33,32,check-in,
2014-6-07 19:00:15,1277692,33,32,check-in,
2014-6-07 19:00:15,1421691,33,32,check-in,
2014-6-07 19:00:15,142579,33,32,check-in,
2014-6-07 19:00:15,142928,33,32,check-in,
2014-6-07 19:00:15,1532478,33,32,check-in,
2014-6-07 19:00:15,1662189,33,32,check-in,
2014-6-07 19:00:15,1719388,33,32,check-in,
2014-6-07 19:00:15,1774167,33,32,check-in,
2014-6-07 19:00:15,1886697,33,32,check-in,
2014-6-07 19:00:15,2001882,33,32,check-in,
2014-6-07 19:00:15,236229,33,32,check-in,
2014-6-07 19:00:15,251617,33,32,check-in,
2014-6-07 19:00:15,259551,33,32,check-in,
2014-6-07 19:00:15,373364,33,32,check-in,
2014-6-07 19:00:15,378443,33,32,check-in,
2014-6-07 19:00:15,631340,33,32,check-in,
2014-6-07 19:00:15,802986,33,32,check-in,
2014-6-07 19:00:15,972383,33,32,check-in,
2014-6-07 19:00:16,1234713,89,79,check-in,
2014-6-07 19:00:18,1035740,84,73,check-in,
2014-6-07 19:00:18,1174886,84,73,check-in,
2014-6-07 19:00:18,1528850,37,60,check-in,
2014-6-07 19:00:18,1980754,37,60,check-in,
2014-6-07 19:00:18,682722,37,60,check-in,
2014-6-07 19:00:18,814523,37,60,check-in,
2014-6-07 19:00:19,1702399,37,67,check-in,
2014-6-07 19:00:19,1713815,84,73,check-in,
2014-6-07 19:00:19,345707,37,67,check-in,
2014-6-07 19:00:19,442891,37,67,check-in,
2014-6-07 19:00:19,553559,37,67,check-in,
2014-6-07 19:00:19,836420,37,60,check-in,
2014-6-07 19:00:19,891456,37,67,check-in,
2014-6-07 19:00:24,224538,48,78,check-in,
2014-6-07 19:00:24,239721,48,78,check-in,
2014-6-07 19:00:25,1308854,24,45,check-in,
2014-6-07 19:00:25,1683806,15,27,check-in,
2014-6-07 19:00:25,2021036,48,78,check-in,
2014-6-07 19:00:25,307824,24,45,check-in,
2014-6-07 19:00:26,293893,15,27,check-in,
2014-6-07 19:00:26,67425,24,45,check-in,
